run_id,case_id,generation_mode,trial_id,ground_truth_label,compliance_status,scientific_category,evaluation_outcome
stub_frozen_20260721,fp2_cv_013_p20_bias_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_019_p22_amplitude_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_019_p22_amplitude_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_019_p22_amplitude_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,fp2_cv_026_p07_output_strong,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_026_p07_output_strong,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,fp2_cv_026_p07_output_strong,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,FAIL,SIMULABLE_NONCOMPLIANT,TRUE_DETECTION
stub_frozen_20260721,wrdata_nominal,deepseek_refinement,trial_01,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,wrdata_nominal,deepseek_refinement,trial_02,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,wrdata_nominal,deepseek_refinement,trial_03,GROUND_TRUTH_COMPLIANT,PASS,SIMULABLE_COMPLIANT,TRUE_ACCEPT
stub_frozen_20260721,wrdata_controlled_violation,deepseek_refinement,trial_01,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,wrdata_controlled_violation,deepseek_refinement,trial_02,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
stub_frozen_20260721,wrdata_controlled_violation,deepseek_refinement,trial_03,GROUND_TRUTH_NONCOMPLIANT,PASS,SIMULABLE_COMPLIANT,FALSE_ACCEPT
