case_id,circuit_type,metric_name,status,measured_value,unit,expected_operator,expected_threshold,source_analysis,measurement_backend,measurement_expression_id,input_node,output_node,error,report_path
p04_amplifier,amplifier,dc_gain_db,FAIL,-160.0000000868589,dB,>=,0.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p04_amplifier\report.json
p04_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p04_amplifier\report.json
p05_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p05_amplifier\report.json
p05_amplifier,amplifier,dc_gain_db,PASS,-31.888621556359272,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p05_amplifier\report.json
p05_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p05_amplifier\report.json
p06_inverter,amplifier,operating_point,PASS,3.75,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p06_inverter\report.json
p06_inverter,amplifier,propagation_delay,PASS,1.0001e-05,s,<=,0.001,,NGSPICE_MEASURE,,,,,paper_final\evidence_freeze_20260724\nominal\cases\p06_inverter\report.json
p07_inverter,amplifier,operating_point,PASS,3.75,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p07_inverter\report.json
p07_inverter,amplifier,propagation_delay,PASS,1.000056e-05,s,<=,0.001,,NGSPICE_MEASURE,,,,,paper_final\evidence_freeze_20260724\nominal\cases\p07_inverter\report.json
p08_currentmirror,current_mirror,operating_point,PASS,0.0766477077,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vbias,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p08_currentmirror\report.json
p08_currentmirror,current_mirror,quiescent_current,NOT_EVALUATED,,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vbias,Vout,metric_missing: Metric 'quiescent_current' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p08_currentmirror\report.json
p09_comparator,comparator,propagation_delay,PASS,-4.83103e-11,s,<=,0.001,,NGSPICE_MEASURE,TRAN_PROPAGATION_DELAY,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p09_comparator\report.json
p10_lowpass,low_pass_filter,cutoff_frequency_hz,PASS,1592.0395187247557,Hz,range,,,NGSPICE_WRDATA,AC_CUTOFF_FREQUENCY_HZ,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p10_lowpass\report.json
p11_highpass,high_pass_filter,cutoff_frequency_hz,NOT_EVALUATED,,Hz,range,,,NGSPICE_WRDATA,AC_CUTOFF_FREQUENCY_HZ,Vin,Vout,metric_missing: Metric 'cutoff_frequency_hz' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p11_highpass\report.json
p12_bandpass,band_pass_filter,cutoff_frequency_hz,PASS,483.85353775526426,Hz,range,,,NGSPICE_WRDATA,AC_CUTOFF_FREQUENCY_HZ,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p12_bandpass\report.json
p13_bandstop,notch_filter,cutoff_frequency_hz,NOT_EVALUATED,,Hz,range,,,NGSPICE_WRDATA,AC_CUTOFF_FREQUENCY_HZ,Vin,Vout,metric_missing: Metric 'cutoff_frequency_hz' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p13_bandstop\report.json
p14_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p14_amplifier\report.json
p14_amplifier,amplifier,dc_gain_db,PASS,151.36044419972137,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p14_amplifier\report.json
p14_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p14_amplifier\report.json
p15_amplifier,amplifier,operating_point,PASS,1.0,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p15_amplifier\report.json
p15_amplifier,amplifier,dc_gain_db,PASS,0.037633875398794175,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p15_amplifier\report.json
p15_amplifier,amplifier,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p15_amplifier\report.json
p16_opamp,opamp,dc_gain_db,PASS,-181.93819839269506,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p16_opamp\report.json
p16_opamp,opamp,phase_margin,NOT_EVALUATED,,deg,>=,0.0,AC,NGSPICE_WRDATA,AC_PHASE_MARGIN,Vinp,Voutp,metric_missing: Metric 'phase_margin' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p16_opamp\report.json
p16_opamp,opamp,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p16_opamp\report.json
p17_currentmirror,current_mirror,operating_point,PASS,0.304709932,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Iref,Iout,,paper_final\evidence_freeze_20260724\nominal\cases\p17_currentmirror\report.json
p17_currentmirror,current_mirror,quiescent_current,NOT_EVALUATED,,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Iref,Iout,metric_missing: Metric 'quiescent_current' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p17_currentmirror\report.json
p18_opamp,opamp,dc_gain_db,PASS,-153.97940091187994,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vinp,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p18_opamp\report.json
p18_opamp,opamp,phase_margin,NOT_EVALUATED,,deg,>=,0.0,AC,NGSPICE_WRDATA,AC_PHASE_MARGIN,Vinp,Vout,metric_missing: Metric 'phase_margin' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p18_opamp\report.json
p18_opamp,opamp,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vinp,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p18_opamp\report.json
p19_mixer,mixer,thd_percent,PASS,23.355622508421483,%,<=,100.0,FFT,NGSPICE_WRDATA,FOURIER_THD_PERCENT,Vrfp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p19_mixer\report.json
p19_mixer,mixer,fundamental_frequency,PASS,999999.9999999999,Hz,>=,1.0,,NGSPICE_WRDATA,FUNDAMENTAL_FREQUENCY,Vrfp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p19_mixer\report.json
p20_opamp,opamp,dc_gain_db,PASS,-6.020600868727537,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p20_opamp\report.json
p20_opamp,opamp,phase_margin,NOT_EVALUATED,,deg,>=,0.0,AC,NGSPICE_WRDATA,AC_PHASE_MARGIN,Vinp,Voutp,metric_missing: Metric 'phase_margin' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p20_opamp\report.json
p20_opamp,opamp,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p20_opamp\report.json
p21_opamp,opamp,dc_gain_db,PASS,-219.37592907844345,dB,>=,-700.0,AC,NGSPICE_WRDATA,AC_TRANSFER_GAIN_DB,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p21_opamp\report.json
p21_opamp,opamp,phase_margin,NOT_EVALUATED,,deg,>=,0.0,AC,NGSPICE_WRDATA,AC_PHASE_MARGIN,Vinp,Voutp,metric_missing: Metric 'phase_margin' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p21_opamp\report.json
p21_opamp,opamp,quiescent_current,PASS,0.0,A,<=,0.05,OP,NGSPICE_WRDATA,QUIESCENT_CURRENT,Vinp,Voutp,,paper_final\evidence_freeze_20260724\nominal\cases\p21_opamp\report.json
p22_oscillator,oscillator,oscillator_frequency,NOT_EVALUATED,,Hz,>=,1.0,,NGSPICE_WRDATA,TRAN_OSCILLATOR_FREQUENCY,in,Vout,metric_missing: Metric 'oscillator_frequency' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p22_oscillator\report.json
p22_oscillator,oscillator,startup_amplitude,PASS,4.999999969612645e-09,V,>=,1e-12,,NGSPICE_WRDATA,TRAN_STARTUP_AMPLITUDE,in,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p22_oscillator\report.json
p23_oscillator,oscillator,oscillator_frequency,NOT_EVALUATED,,Hz,>=,1.0,,NGSPICE_WRDATA,TRAN_OSCILLATOR_FREQUENCY,in,Vout,metric_missing: Metric 'oscillator_frequency' could not be extracted from simulation,paper_final\evidence_freeze_20260724\nominal\cases\p23_oscillator\report.json
p23_oscillator,oscillator,startup_amplitude,FAIL,0.0,V,>=,1e-12,,NGSPICE_WRDATA,TRAN_STARTUP_AMPLITUDE,in,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p23_oscillator\report.json
p24_integrator,opamp_integrator,slew_rate,PASS,35020999.99996844,V/s,>=,1e-06,TRAN,NGSPICE_WRDATA,TRAN_SLEW_RATE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p24_integrator\report.json
p24_integrator,opamp_integrator,settling_time,PASS,4.99969601e-05,s,<=,1.0,TRAN,NGSPICE_WRDATA,TRAN_SETTLING_TIME,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p24_integrator\report.json
p25_differentiator,opamp_differentiator,slew_rate,PASS,63041382000.00001,V/s,>=,1e-06,TRAN,NGSPICE_WRDATA,TRAN_SLEW_RATE,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p25_differentiator\report.json
p26_adder,composite,operating_point,PASS,1.53050996,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin1,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p26_adder\report.json
p27_subtractor,composite,operating_point,PASS,4.53129692,V,range,,OP,NGSPICE_WRDATA,OPERATING_POINT_VOLTAGE,Vin1,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p27_subtractor\report.json
p28_schmitt,schmitt_trigger,propagation_delay,PASS,-7.830496e-08,s,<=,0.001,,NGSPICE_MEASURE,TRAN_PROPAGATION_DELAY,Vin,Vout,,paper_final\evidence_freeze_20260724\nominal\cases\p28_schmitt\report.json
